tab 	sites
age	age_unit	bed_dip	bed_dip_direction	citations	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
2054	Ma	8.0	20.0	10.1111/j.1365-246X.2009.04346.x	3.2	354.5	71.7	348.77	8.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.607	Gabbronorite	Main Zone Western Lobe	27.501	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-37	5.622317651891692	4.939133715433266	7.742659736014952	24.442109041389774
2054	Ma	10.0	20.0	10.1111/j.1365-246X.2009.04346.x	3.5	323.4	80.8	222.58	9.0	5	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.601	Gabbronorite	Main Zone Western Lobe	27.5415	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-38	6.746111431324083	6.501431349120209	-10.833811008549993	16.759677282612248
2054	Ma	11.0	28.0	10.1111/j.1365-246X.2009.04346.x	3.0	2.2	77.1	286.67	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.547666666666668	Gabbronorite	Main Zone Western Lobe	27.434	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZW-41	5.596192387418978	5.21956153950102	-0.9528609506349729	28.350131043641152
2054	Ma	11.0	310.0	10.1111/j.1365-246X.2009.04346.x	4.5	220.0	-66.6	133.45	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.871333333333332	Gabbronorite	Main Zone Eastern Lobe	30.044166666666666	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-1	7.4150605108896235	6.109235820017184	-7.86281138820652	235.1722552037947
2054	Ma	14.0	308.0	10.1111/j.1365-246X.2009.04346.x	4.5	220.5	-59.4	181.93	7.0	7	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.872666666666667	Gabbronorite	Main Zone Eastern Lobe	30.044333333333334	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-2a	6.750775244552232	5.063662933606585	-14.789476795006628	240.9045006312523
2054	Ma	14.0	306.0	10.1111/j.1365-246X.2009.04346.x	2.8	209.2	-56.3	479.85	7.0	7	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.872666666666667	Gabbronorite	Main Zone Eastern Lobe	30.044333333333334	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-2b	4.03771345577045	2.9112732055195956	-22.417185191292983	235.02100005859404
2054	Ma	15.0	300.0	10.1111/j.1365-246X.2009.04346.x	6.4	201.2	-47.7	39.15	14.0	14	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.954166666666666	Gabbronorite	Main Zone Eastern Lobe	29.9655	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-3	8.334143138475236	5.426401707233893	-32.52302593335649	232.04393867689794
2054	Ma	10.0	259.0	10.1111/j.1365-246X.2009.04346.x	2.8	36.2	61.9	405.98	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.225	Gabbronorite	Main Zone Eastern Lobe	30.007666666666665	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-8	4.3391866546616455	3.3622394328560223	13.978539437417826	56.38353390539096
2054	Ma	12.0	285.0	10.1111/j.1365-246X.2009.04346.x	2.4	35.9	64.8	477.92	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.597333333333335	Gabbronorite	Main Zone Eastern Lobe	29.9255	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-42	3.8631068012151117	3.1090821161655118	10.7223426587527	54.06811173240571
2054	Ma	11.0	280.0	10.1111/j.1365-246X.2009.04346.x	2.4	30.8	61.4	420.08	10.0	10	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.598	Gabbronorite	Main Zone Eastern Lobe	29.922	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-43	3.6951099493230637	2.8445494869971446	16.194879062079693	53.061638908263376
2054	Ma	10.0	284.0	10.1111/j.1365-246X.2009.04346.x	2.8	48.5	61.4	389.93	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.6005	Gabbronorite	Main Zone Eastern Lobe	29.921833333333332	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-44	4.310961607543574	3.318641068163336	8.532390172016791	63.850753431007256
2054	Ma	10.0	295.0	10.1111/j.1365-246X.2009.04346.x	1.6	30.2	67.9	1014.69	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.6835	Gabbronorite	Main Zone Eastern Lobe	29.917333333333332	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-45	2.681009249921315	2.246190811926141	8.892968307127546	48.63885155719657
2054	Ma	11.0	289.0	10.1111/j.1365-246X.2009.04346.x	1.5	35.8	62.5	1099.84	10.0	10	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.682	Gabbronorite	Main Zone Eastern Lobe	29.916833333333333	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-46	2.3428669114145197	1.82967512153367	13.117925442053176	55.58646337503977
2054	Ma	11.0	283.0	10.1111/j.1365-246X.2009.04346.x	1.1	39.5	62.7	2086.86	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.680333333333333	Gabbronorite	Main Zone Eastern Lobe	29.912166666666668	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-47	1.7226033349681091	1.348801022565114	11.41737392921198	57.69258313369651
2054	Ma	11.0	285.0	10.1111/j.1365-246X.2009.04346.x	1.4	35.7	64.1	1910.6	7.0	7	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.689	Gabbronorite	Main Zone Eastern Lobe	29.914	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-48	2.2329461662704846	1.780731636236448	11.470875395523136	54.42251731453291
2054	Ma	10.0	287.0	10.1111/j.1365-246X.2009.04346.x	0.9	32.8	66.7	4021.26	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.686	Gabbronorite	Main Zone Eastern Lobe	29.917333333333332	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-49	1.4849338517997486	1.2250158579004653	9.552616816297476	50.92551596471218
2054	Ma	12.0	277.0	10.1111/j.1365-246X.2009.04346.x	2.7	31.1	57.2	366.44	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.616333333333333	Gabbronorite	Main Zone Eastern Lobe	29.926333333333332	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-50	3.9379951774539697	2.871815929194578	20.18241290062789	55.69925669729673
2054	Ma	11.0	282.0	10.1111/j.1365-246X.2009.04346.x	1.9	46.4	59.3	762.04	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.6125	Gabbronorite	Main Zone Eastern Lobe	29.9205	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-51	2.846651822978656	2.1324806845441326	11.374452436715725	64.32468593509155
2054	Ma	40.0	180.0	10.1111/j.1365-246X.2009.04346.x	8.7	14.3	33.9	112.49	4.0	4	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.3385	Norite	Main Zone Eastern Lobe	29.3795	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-52	9.93594707855712	5.673738180913092	43.938298091330736	48.35419684848129
2054	Ma	10.0	126.0	10.1111/j.1365-246X.2009.04346.x	7.1	14.6	62.7	61.65	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.264166666666668	Gabbronorite	Main Zone Eastern Lobe	29.626166666666666	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-53	11.118621525703247	8.705897509283915	19.366792151051474	40.69026292918791
2054	Ma	10.0	126.0	10.1111/j.1365-246X.2009.04346.x	2.4	1.2	66.2	474.89	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.265666666666668	Gabbronorite	Main Zone Eastern Lobe	29.624666666666666	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-54	3.9342327227972134	3.2246223160684115	16.142187840682908	30.451036588689796
2054	Ma	11.0	285.0	10.1111/j.1365-246X.2009.04346.x	3.3	45.5	60.8	5550.0	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.200166666666668	Gabbronorite	Main Zone Eastern Lobe	29.931	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-55	5.04122229644747	3.850594279121075	10.880505832410659	62.7031103265768
2054	Ma	10.0	271.0	10.1111/j.1365-246X.2009.04346.x	7.5	32.9	57.7	104.64	5.0	5	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.19783333333333	Gabbronorite	Main Zone Eastern Lobe	29.934666666666665	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-56	11.0086078574479	8.079296463937576	19.376018173684745	56.78145638599618
2054	Ma	12.0	271.0	10.1111/j.1365-246X.2009.04346.x	3.3	45.5	60.8	8.0	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.201333333333334	Gabbronorite	Main Zone Eastern Lobe	29.966666666666665	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-58	5.04122229644747	3.850594279121075	10.879524863187436	62.738655611153455
2054	Ma	10.0	250.0	10.1111/j.1365-246X.2009.04346.x	4.4	358.2	75.1	236.6	6.0	6	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-25.2195	Gabbronorite	Main Zone Eastern Lobe	30.014833333333332	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-59	8.038786643564517	7.343419397812644	2.7885408685601036	29.16833381512933
2054	Ma	11.0	300.0	10.1111/j.1365-246X.2009.04346.x	5.0	203.0	-62.3	124.77	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.961333333333332	Gabbronorite	Main Zone Eastern Lobe	29.9565	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-61	7.789158034164003	6.067098288118167	-18.25704952040125	227.29069249761363
2054	Ma	15.0	224.0	10.1111/j.1365-246X.2009.04346.x	3.8	19.5	54.8	188.67	9.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.335333333333335	Gabbronorite	Main Zone Eastern Lobe	29.765	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-63	5.3782854151559	3.806046579852457	27.54399825015917	47.65248134816175
2054	Ma	15.0	224.0	10.1111/j.1365-246X.2009.04346.x	3.6	20.8	27.9	243.51	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.376833333333334	Gabbronorite	Main Zone Eastern Lobe	29.781333333333333	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-65	3.937822938371362	2.1536735408282865	45.848690085804144	59.30787191518113
2054	Ma	14.0	306.0	10.1111/j.1365-246X.2009.04346.x	4.0	218.2	-71.1	195.24	8.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.9385	Gabbronorite	Main Zone Eastern Lobe	29.886166666666668	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	MZE-69	6.9769483831263575	6.0847260926011835	-3.135831504877432	230.36845110697547
2054	Ma	12.0	272.0	10.1111/j.1365-246X.2009.04346.x	8.2	43.5	59.2	25.68	7.0	13	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.886833333333332	Norite	Critical Zone	30.127166666666668	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	CZ-4	12.269718441535547	9.179633575277895	13.51600119624824	62.9757994741587
2054	Ma	10.0	274.0	10.1111/j.1365-246X.2009.04346.x	8.4	200.5	-63.8	53.02	7.0	8	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.634	Norite	Critical Zone	30.138666666666666	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	CZ-66	13.34518141516452	10.600825416884073	-17.46514379112672	225.06138870320441
2054	Ma	10.0	274.0	10.1111/j.1365-246X.2009.04346.x	7.1	213.2	-68.1	90.0	6.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.640333333333334	Norite	Critical Zone	30.134	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	CZ-67	11.92746939100852	10.01862859672148	-8.722042689981171	230.44481376723553
2054	Ma	11.0	235.0	10.1111/j.1365-246X.2009.04346.x	6.8	9.8	45.8	195.0	6.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.40116666666667	Norite	Critical Zone	30.013833333333334	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	CZ-68	8.674362860581967	5.532689046841453	37.52954969919137	41.01779782013496
2054	Ma	10.0	274.0	10.1111/j.1365-246X.2009.04346.x	4.5	194.0	-73.6	101.83	11.0	11	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.64139	Norite	Critical Zone	30.13675	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	CZ-M	8.085009829146173	7.2630426597100355	-5.052748904824112	217.21353876989124
2054	Ma	14.0	60.0	10.1111/j.1365-246X.2009.04346.x	6.1	172.0	-61.5	63.05	10.0	9	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.81517	Intrusives	Critical Zone	27.3107	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	CZ-B1	9.403995768562307	7.248781673371943	-22.1407922016579	200.96501530667828
2054	Ma			10.1111/j.1365-246X.2009.04346.x						10	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.81517	Intrusives	Critical Zone	27.3107	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	CZ-B2				
2054	Ma	10.0	272.0	10.1111/j.1365-246X.2009.04346.x	3.0	187.3	-57.1	265.56	10.0	10	0	Bushveld Complex	Igneous:Intrusive	Layered Intrusion	-24.45761	Norite	Critical Zone	30.05858	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	CZ-H2	4.370008423044807	3.1828289362470925	-27.464966844344893	216.56458245784412
