tab 	sites
age	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	7.5	8.9	-51.1	66.1	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7558	Basalt	19	28.0611	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN35B	10.152269020922203	6.871237751545111	82.32590817934947	128.0619386602324
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.7	-5.2	-66.4	163.4	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7561	Basalt	18	28.0595	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN35C	7.7245657118735656	6.347756961388593	71.47794086151413	218.8795822318245
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.6	13.3	-52.1	279.3	7	7	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7565	Basalt	DG17	28.0594	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN36	4.930999200461316	3.377049043743075	78.52874683951663	131.3322364406397
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.5	12.1	-57.4	474.7	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.757	Basalt	DG17	28.0594	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN37	3.6555588887415675	2.672622157811496	77.67089159526216	157.4006327487184
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.1	4.2	6.4	792.3	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7576	Basalt	DG16	28.0591	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN38	2.109853866555643	1.0598769852904275	55.796820127401915	35.53347038645011
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	10.8	5.3	-11.6	28.4	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7583	Basalt		28.0586	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	NN39	10.967571835015454	5.568871849825196	64.60893254216772	40.432688858298405
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.7	4.8	4.0	423.1	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7586	Basalt	DG16	28.0581	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN40	2.704940316487754	1.3549448362520136	56.92141928435482	36.87178203470352
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.2	-6.2	12.5	84.6	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7605	Basalt	DG15	28.0577	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN42	6.311873967596937	3.2128833050667653	52.442146199572676	17.915212944466244
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	11.9	-5.5	-22.5	42.2	5	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.761	Basalt		28.0574	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	NN43	12.612805357444788	6.684153738856635	70.27150645163688	11.914509974127819
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	7.8	-3.8	19.8	53.2	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7616	Basalt	DG15	28.0569	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN44	8.158966953856241	4.267227035520397	48.871585013971924	22.36582156139542
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.1	-1.5	21.4	187.4	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.763	Basalt	DG15	28.0568	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN45	4.321422488076118	2.2774015024939014	48.12567202868536	25.851250122444075
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.5	24.1	-49.3	64.7	9	9	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7626	Basalt	14	28.0554	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NNPR	8.617596101443697	5.712535582124434	69.25908102951567	122.62178429501574
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	5.5	55.8	-55.4	100.6	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7627	Basalt	DG13	28.0555	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN46	7.842472835160262	5.591307288202425	43.72863579148426	140.12392036443453
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.9	60.2	-50.4	424.3	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7635	Basalt	DG13	28.0563	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN47	3.893645296422652	2.613874774888661	39.05390964889566	135.04703812077938
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	12.9	52.8	-58.7	23.2	7	7	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7641	Basalt		28.0561	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	ND48	19.17857671340327	14.256504060150947	46.565030484211206	144.5701407762111
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	7.9	39.5	-56.1	54.6	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7632	Basalt	12	28.0519	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND49	11.363558009891525	8.172813331909483	56.85441481062697	139.0936181665345
