,index,specnum,c0_name,c0_start,c0_stop,c1_name,c1_start,c1_stop
173,2961,cm107a4-173,C2,555,580,C1,500,550
174,2978,cm109a3-174,C2,555,580,C1,500,550
175,2996,cm111b2-175,C2,555,580,C1,500,550
176,3013,cm113a1-176,C2,555,580,C1,500,550
177,3030,cm115b1-177,C2,555,580,C1,500,550
178,3047,cm117a3-178,C2,555,580,C1,500,550
179,3061,cm125a4-179,C2,555,580,C1,500,550
180,3075,cm127a2-180,C2,555,580,C1,500,550
181,3089,cm129a2-181,C2,555,580,C1,500,550
182,3103,cm131a2-182,C2,555,580,C1,500,550
183,3117,cm133b1-183,C2,555,580,C1,500,550
184,3134,cm135b4-184,C2,555,580,C1,500,550
185,3151,cm137a3-185,C2,555,580,C1,500,550
186,3169,smc9906f1-186,C2,555,580,C1,500,550
187,3186,smc9910g1-187,C2,555,580,C1,500,550
188,3203,smc9914b1-188,C2,555,580,C1,500,550
189,3220,smc9915b1-189,C2,555,580,C1,500,550
190,3237,smc9916d1-190,C2,555,580,C1,500,550
191,3254,wc005a2-191,C2,555,580,C1,500,550
192,3271,wc017a1-192,C2,555,580,C1,500,550
193,3288,wc019a3-193,C2,555,580,C1,500,550
194,3305,wc027a1-194,C2,555,580,C1,500,550
195,3322,wc035a1-195,C2,555,580,C1,500,550
196,3339,wc043a2-196,C2,555,580,C1,500,550
197,3356,wc045a1-197,C2,555,580,C1,500,550
198,3373,wc051a1-198,C2,555,580,C1,500,550
199,3387,wc053b2-199,C2,555,580,C1,500,550
200,3401,wc059a2-200,C2,555,580,C1,500,550
201,3418,wc061a2-201,C2,555,580,C1,500,550
202,3435,pp022e3-202,C2,555,580,C1,500,550
203,3452,pp023d3-203,C2,555,580,C1,500,550
204,3469,pp024c2-204,C2,555,580,C1,500,550
205,3486,pp025c4-205,C2,555,580,C1,500,550
206,3503,pp026a3-206,C2,555,580,C1,500,550
207,3520,pp027b4-207,C2,555,580,C1,500,550
208,3537,pp028a4-208,C2,555,580,C1,500,550
209,3554,pp029b4-209,C2,555,580,C1,500,550
210,3571,pp030a3-210,C2,555,580,C1,500,550
211,3588,pp031c4-211,C2,555,580,C1,500,550
212,3605,pp032a4-212,C2,555,580,C1,500,550
213,3622,pp033b4-213,C2,555,580,C1,500,550
214,3639,pp036a4-214,C2,555,580,C1,500,550
215,3656,pp037a2-215,C2,555,580,C1,500,550
216,3673,pp038a3-216,C2,555,580,C1,500,550
217,3690,pp039c4-217,C2,555,580,C1,500,550
218,3707,pp040a3-218,C2,555,580,C1,500,550
219,3724,pp042b2-219,C2,555,580,C1,500,550
220,3741,pp044b4-220,C2,555,580,C1,500,550
221,3758,pp045a4-221,C2,555,580,C1,500,550
222,3775,pp046c4-222,C2,555,580,C1,500,550
223,3792,pp047a3-223,C2,555,580,C1,500,550
224,3809,pp048b2-224,C2,555,580,C1,500,550
225,3826,pp049a3-225,C2,555,580,C1,500,550
226,3843,pp050d2-226,C2,555,580,C1,500,550
227,3860,pp051c3-227,C2,555,580,C1,500,550
228,3877,pp052b4-228,C2,555,580,C1,500,550
229,3894,pp053b3-229,C2,555,580,C1,500,550
230,3911,pp054e3-230,C2,555,580,C1,500,550
231,3928,pp055e1-231,C2,555,580,C1,500,550
232,3945,cl001a4-232,C2,555,580,C1,500,550
233,3958,cl003a5-233,C2,555,580,C1,500,550
234,3972,cl005a4-234,C2,555,580,C1,500,550
235,3986,cl007a5-235,C2,555,580,C1,500,550
236,4000,cl009a3-236,C2,555,580,C1,500,550
237,4015,cl011a4-237,C2,555,580,C1,500,550
238,4028,cl013a5-238,C2,555,580,C1,500,550
239,4041,cl015a5-239,C2,555,580,C1,500,550
240,4054,cl017a4-240,C2,555,580,C1,500,550
241,4068,cl019a5-241,C2,555,580,C1,500,550
242,4086,cl021a4-242,C2,555,580,C1,500,550
243,4102,cl023a4-243,C2,555,580,C1,500,550
244,4116,cl025a5-244,C2,555,580,C1,500,550
245,4130,cl027a4-245,C2,555,580,C1,500,550
246,4146,cl029a5-246,C2,555,580,C1,500,550
247,4159,cl031a5-247,C2,555,580,C1,500,550
248,4173,cl033a5-248,C2,555,580,C1,500,550
249,4189,cl035a5-249,C2,555,580,C1,500,550
250,4203,cl037a4-250,C2,555,580,C1,500,550
251,4217,cl039a5-251,C2,555,580,C1,500,550
252,4231,cl041a5-252,C2,555,580,C1,500,550
253,4244,cl043a5-253,C2,555,580,C1,500,550
254,4257,cl045a5-254,C2,555,580,C1,500,550
255,4270,cl047a3-255,C2,555,580,C1,500,550
256,4284,cl049b5-256,C2,555,580,C1,500,550
257,4301,cl051a5-257,C2,555,580,C1,500,550
258,4315,cl053a4-258,C2,555,580,C1,500,550
259,4327,cl055a5-259,C2,555,580,C1,500,550
260,4343,cl058a5-260,C2,555,580,C1,500,550
261,4357,cl002b4-261,C2,555,580,C1,500,550
262,4371,cl004a4-262,C2,555,580,C1,500,550
263,4385,cl006a4-263,C2,555,580,C1,500,550
264,4399,cl008a4-264,C2,555,580,C1,500,550
265,4411,cl010a5-265,C2,555,580,C1,500,550
266,4425,cl012a1-266,C2,555,580,C1,500,550
267,4437,cl014a5-267,C2,555,580,C1,500,550
268,4452,cl016b4-268,C2,555,580,C1,500,550
269,4467,cl018a4-269,C2,555,580,C1,500,550
270,4480,cl020a4-270,C2,555,580,C1,500,550
271,4495,cl022a4-271,C2,555,580,C1,500,550
272,4508,cl024a4-272,C2,555,580,C1,500,550
273,4521,cl026a4-273,C2,555,580,C1,500,550
274,4533,cl028a5-274,C2,555,580,C1,500,550
275,4547,cl030a4-275,C2,555,580,C1,500,550
276,4561,cl032a4-276,C2,555,580,C1,500,550
277,4576,cl034a4-277,C2,555,580,C1,500,550
278,4591,cl036a4-278,C2,555,580,C1,500,550
279,4606,cl038a5-279,C2,555,580,C1,500,550
280,4620,cl040a5-280,C2,555,580,C1,500,550
281,4633,cl042a5-281,C2,555,580,C1,500,550
282,4646,cl044a5-282,C2,555,580,C1,500,550
283,4660,cl046a4-283,C2,555,580,C1,500,550
284,4673,cl048b5-284,C2,555,580,C1,500,550
285,4687,cl050a4-285,C2,555,580,C1,500,550
286,4702,cl052a4-286,C2,555,580,C1,500,550
287,4718,cl054a5-287,C2,555,580,C1,500,550
288,4732,cl057a5-288,C2,555,580,C1,500,550
289,4749,cl001a1-289,C2,555,580,C1,500,550
290,4760,cl002b3-290,C2,555,580,C1,500,550
291,4771,cl004a2-291,C2,555,580,C1,500,550
292,4782,cl006a3-292,C2,555,580,C1,500,550
293,4793,cl008a2-293,C2,555,580,C1,500,550
294,4804,cl009a2-294,C2,555,580,C1,500,550
295,4816,cl011a3-295,C2,555,580,C1,500,550
296,4827,cl013a4-296,C2,555,580,C1,500,550
297,4838,cl015a2-297,C2,555,580,C1,500,550
298,4850,cl016a3-298,C2,555,580,C1,500,550
299,4862,cl018a2-299,C2,555,580,C1,500,550
300,4873,cl019a2-300,C2,555,580,C1,500,550
301,4884,cl020b2-301,C2,555,580,C1,500,550
302,4895,cl022a3-302,C2,555,580,C1,500,550
303,4906,cl023a3-303,C2,555,580,C1,500,550
304,4917,cl025a4-304,C2,555,580,C1,500,550
305,4928,cl027a2-305,C2,555,580,C1,500,550
306,4940,cl028a3-306,C2,555,580,C1,500,550
307,4952,cl030a2-307,C2,555,580,C1,500,550
308,4963,cl031a4-308,C2,555,580,C1,500,550
309,4976,cl033a2-309,C2,555,580,C1,500,550
310,4988,cl034a3-310,C2,555,580,C1,500,550
311,4999,cl036a3-311,C2,555,580,C1,500,550
312,5010,cl038a4-312,C2,555,580,C1,500,550
313,5021,cl040a4-313,C2,555,580,C1,500,550
314,5032,cl043a4-314,C2,555,580,C1,500,550
315,5043,cl047a1-315,C2,555,580,C1,500,550
316,5056,cl049a3-316,C2,555,580,C1,500,550
317,5071,cl051a4-317,C2,555,580,C1,500,550
318,5084,cl053a3-318,C2,555,580,C1,500,550
319,5095,cl054a4-319,C2,555,580,C1,500,550
320,5106,cl055a4-320,C2,555,580,C1,500,550
321,5120,cl056a3-321,C2,555,580,C1,500,550
322,5133,cl001a3-322,C2,555,580,C1,500,550
323,5146,cl003a2-323,C2,555,580,C1,500,550
324,5159,cl005a3-324,C2,555,580,C1,500,550
325,5172,cl007a2-325,C2,555,580,C1,500,550
326,5185,cl008a3-326,C2,555,580,C1,500,550
327,5198,cl010a3-327,C2,555,580,C1,500,550
328,5211,cl012a2-328,C2,555,580,C1,500,550
329,5223,cl014a3-329,C2,555,580,C1,500,550
330,5235,cl015a3-330,C2,555,580,C1,500,550
331,5249,cl017a2-331,C2,555,580,C1,500,550
332,5262,cl019a3-332,C2,555,580,C1,500,550
333,5276,cl021a5-333,C2,555,580,C1,500,550
334,5289,cl022a5-334,C2,555,580,C1,500,550
335,5302,cl024a2-335,C2,555,580,C1,500,550
336,5315,cl026a2-336,C2,555,580,C1,500,550
337,5329,cl027a3-337,C2,555,580,C1,500,550
338,5342,cl029a3-338,C2,555,580,C1,500,550
339,5356,cl030a3-339,C2,555,580,C1,500,550
340,5369,cl032a2-340,C2,555,580,C1,500,550
341,5383,cl033a3-341,C2,555,580,C1,500,550
342,5398,cl035a4-342,C2,555,580,C1,500,550
343,5412,cl037a3-343,C2,555,580,C1,500,550
344,5425,cl039a3-344,C2,555,580,C1,500,550
345,5438,cl041a2-345,C2,555,580,C1,500,550
346,5451,cl044a4-346,C2,555,580,C1,500,550
347,5464,cl046a3-347,C2,555,580,C1,500,550
348,5479,cl048b4-348,C2,555,580,C1,500,550
349,5492,cl050a3-349,C2,555,580,C1,500,550
350,5506,cl054a3-350,C2,555,580,C1,500,550
351,5518,cl056a2-351,C2,555,580,C1,500,550
352,5534,cl057a4-352,C2,555,580,C1,500,550
353,5551,cl002a1-353,C2,555,580,C1,500,550
354,5564,cl003a4-354,C2,555,580,C1,500,550
355,5577,cl006a1-355,C2,555,580,C1,500,550
356,5588,cl007a3-356,C2,555,580,C1,500,550
357,5599,cl009a1-357,C2,555,580,C1,500,550
358,5610,cl010a4-358,C2,555,580,C1,500,550
359,5621,cl013a3-359,C2,555,580,C1,500,550
360,5633,cl014a4-360,C2,555,580,C1,500,550
361,5645,cl016a2-361,C2,555,580,C1,500,550
362,5656,cl017a3-362,C2,555,580,C1,500,550
363,5668,cl018a3-363,C2,555,580,C1,500,550
364,5681,cl020a3-364,C2,555,580,C1,500,550
365,5692,cl021a3-365,C2,555,580,C1,500,550
366,5705,cl023a2-366,C2,555,580,C1,500,550
367,5716,cl025a3-367,C2,555,580,C1,500,550
368,5727,cl026a3-368,C2,555,580,C1,500,550
369,5738,cl028a2-369,C2,555,580,C1,500,550
370,5749,cl029a4-370,C2,555,580,C1,500,550
371,5761,cl031a2-371,C2,555,580,C1,500,550
372,5773,cl032a3-372,C2,555,580,C1,500,550
373,5785,cl034a2-373,C2,555,580,C1,500,550
374,5798,cl036a2-374,C2,555,580,C1,500,550
375,5812,cl038a3-375,C2,555,580,C1,500,550
376,5823,cl039a4-376,C2,555,580,C1,500,550
377,5834,cl042a2-377,C2,555,580,C1,500,550
378,5845,cl045a3-378,C2,555,580,C1,500,550
379,5856,cl047a2-379,C2,555,580,C1,500,550
380,5868,cl049a4-380,C2,555,580,C1,500,550
381,5883,cl050a2-381,C2,555,580,C1,500,550
382,5897,cl052a3-382,C2,555,580,C1,500,550
383,5911,cl058a4-383,C2,555,580,C1,500,550
384,5924,m428c1-384,C2,555,580,C1,500,550
385,5938,m428c2-385,C2,555,580,C1,500,550
386,5952,m428c3-386,C2,555,580,C1,500,550
